Date,Price,Volume,Open,High,Low
12/30/2022,80.26,191002,78.73,80.67,77.71
12/29/2022,78.40,184947,78.82,78.82,76.79
12/28/2022,78.96,194273,79.89,79.92,77.30
12/27/2022,79.53,186518,79.90,81.18,79.16
12/23/2022,79.56,219020,78.18,80.33,77.98
12/22/2022,77.49,199277,78.43,79.90,77.03
12/21/2022,78.29,222936,75.99,78.61,75.80
12/20/2022,76.09,13534,75.70,76.75,74.31
12/19/2022,75.19,37990,74.50,76.41,73.81
12/16/2022,74.29,81668,76.37,76.57,73.33
12/15/2022,76.11,205243,77.37,77.77,75.33
12/14/2022,77.28,267021,75.27,77.75,74.90
12/13/2022,75.39,322478,73.29,76.37,73.21
12/12/2022,73.17,294199,71.79,73.99,70.25
12/09/2022,71.02,324750,71.85,72.92,70.08
12/08/2022,71.46,440898,72.38,75.44,71.12
12/07/2022,72.01,360031,74.55,75.38,71.75
12/06/2022,74.25,359520,77.35,77.88,73.41
12/05/2022,76.93,330679,79.99,82.72,76.77
12/02/2022,79.98,260529,81.47,82.22,79.65
12/01/2022,81.22,298300,80.40,83.34,79.93
11/30/2022,80.55,273153,79.00,81.38,78.40
11/29/2022,78.20,360911,76.54,79.15,77.08
11/28/2022,77.24,388889,75.93,77.84,76.47
11/25/2022,76.28,250830,77.51,79.90,76.22
11/23/2022,77.94,359616,81.08,81.95,76.83
11/22/2022,80.95,251072,80.22,82.36,79.85
11/21/2022,79.73,13130,80.30,80.30,78.12
11/18/2022,80.08,58706,82.09,82.64,77.24
11/17/2022,81.64,112199,85.22,85.45,81.40
11/16/2022,85.59,203794,86.89,87.51,84.20
11/15/2022,86.92,305969,85.25,88.68,84.06
11/14/2022,85.87,283720,89.02,89.84,85.15
11/11/2022,88.96,266963,86.27,90.10,86.18
11/10/2022,86.47,304387,85.85,87.35,84.70
11/09/2022,85.83,346332,88.57,89.24,85.50
11/08/2022,88.91,311272,91.87,89.36,88.52
11/07/2022,91.79,288712,91.00,93.74,90.40
11/04/2022,92.61,328375,87.90,92.69,92.40
11/03/2022,89.35,224728,89.35,88.07,87.87
11/02/2022,88.57,262457,88.62,90.36,87.72
11/01/2022,86.21,257373,86.43,89.45,85.92
10/31/2022,86.53,266337,88.39,88.65,85.30
10/28/2022,87.90,241417,88.67,88.76,87.08
10/27/2022,88.26,273717,88.26,89.79,87.33
10/26/2022,87.91,271474,85.07,88.41,84.14
10/25/2022,85.32,226337,84.88,86.03,83.06
10/24/2022,84.58,238458,85.24,85.92,82.63
10/21/2022,85.14,259938,85.07,85.90,83.15
